Order	Family	Subfamily	Tribe	Genus	Species	LivingGenus	LivingRelative	Living	TaxonString	FCT_HYP	FCT_LOP	FCT_HOR	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM
Artiodactyla	Bovidae	NA	Tragelaphini	Taurotragus	NA	Taurotragus	NA	NA	ArtiodactylaBovidaeTragelaphiniTaurotragus	3	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	gaudryi/robbinsi	Tragelaphus	NA	NA	ArtiodactylaBovidaeTragelaphiniTragelaphusgaudryi/robbinsi	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	imberbis/scriptus	Tragelaphus	NA	NA	ArtiodactylaBovidaeTragelaphiniTragelaphusimberbis/scriptus	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	kyaloae	Tragelaphus	Tragelaphus strepsiceros	0	ArtiodactylaBovidaeTragelaphiniTragelaphuskyaloae	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	nakuae	Tragelaphus	Tragelaphus strepsiceros	0	ArtiodactylaBovidaeTragelaphiniTragelaphusnakuae	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	rastafari	Tragelaphus	Tragelaphus strepsiceros	0	ArtiodactylaBovidaeTragelaphiniTragelaphusrastafari	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	scriptus	Tragelaphus	Tragelaphus scriptus	1	ArtiodactylaBovidaeTragelaphiniTragelaphusscriptus	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	strepsiceros	Tragelaphus	Tragelaphus strepsiceros	1	ArtiodactylaBovidaeTragelaphiniTragelaphusstrepsiceros	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	strepsiceros maryanus	Tragelaphus	NA	NA	ArtiodactylaBovidaeTragelaphiniTragelaphusstrepsiceros maryanus	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus	NA	Tragelaphus	NA	NA	ArtiodactylaBovidaeTragelaphiniTragelaphus	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Tragelaphini	Tragelaphus/Taurotragus	NA	NA	NA	NA	ArtiodactylaBovidaeTragelaphiniTragelaphus/Taurotragus	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Tragelaphini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeTragelaphini	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Tragelaphini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeTragelaphiniindetindet	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Tragelaphini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeTragelaphiniindet	2	2	1	0	1	0	0	0
